Id,Label,Type,Int Type
heart,heart,Words,1
beat,beat,Words,1
stand,stand,Words,1
two,two,Words,1
shake,shake,Words,1
near,near,Words,1
lip,lip,Words,1
best,best,Words,1
bless,bless,Words,1
ache,ache,Words,1
cry,cry,Words,1
laugh,laugh,Words,1
pass,pass,Words,1
time,time,Words,1
today,today,Words,1
like,like,Words,1
make,make,Words,1
somehowthat,somehowthat,Words,1
take,take,Words,1
write,write,Words,1
away,away,Words,1
meant,meant,Words,1
broken,broken,Words,1
nothing,nothing,Words,1
sand,sand,Words,1
love,love,Words,1
every,every,Words,1
true,true,Words,1
ever,ever,Words,1
break,break,Words,1
letter,letter,Words,1
heart,heart,Words,1
saw,saw,Words,1
day,day,Words,1
vow,vow,Words,1
wave,wave,Words,1
tide,tide,Words,1
would,would,Words,1
cantare,cantare,Words,1
con,con,Words,1
faccia,faccia,Words,1
tutti,tutti,Words,1
blu,blu,Words,1
dal,dal,Words,1
tuoi,tuoi,Words,1
mi,mi,Words,1
mentre,mentre,Words,1
volare,volare,Words,1
stelle,stelle,Words,1
di,di,Words,1
che,che,Words,1
scompare,scompare,Words,1
ed,ed,Words,1
è,è,Words,1
volavo,volavo,Words,1
tramonta,tramonta,Words,1
svaniscon,svaniscon,Words,1
tua,tua,Words,1
venivo,venivo,Words,1
dimprovviso,dimprovviso,Words,1
incominciavo,incominciavo,Words,1
dipingevo,dipingevo,Words,1
come,come,Words,1
laggiù,laggiù,Words,1
felice,felice,Words,1
belli,belli,Words,1
e,e,Words,1
suona,suona,Words,1
stare,stare,Words,1
soltanto,soltanto,Words,1
dipinto,dipinto,Words,1
li,li,Words,1
spariva,spariva,Words,1
per,per,Words,1
ritorni,ritorni,Words,1
sono,sono,Words,1
le,le,Words,1
perché,perché,Words,1
occhi,occhi,Words,1
pian,pian,Words,1
la,la,Words,1
voce,voce,Words,1
lontano,lontano,Words,1
sogni,sogni,Words,1
più,più,Words,1
poi,poi,Words,1
sole,sole,Words,1
una,una,Words,1
degli,degli,Words,1
negli,negli,Words,1
suonava,suonava,Words,1
dolce,dolce,Words,1
infinito,infinito,Words,1
cielo,cielo,Words,1
continuo,continuo,Words,1
rapito,rapito,Words,1
oh,oh,Words,1
mondo,mondo,Words,1
sé,sé,Words,1
nel,nel,Words,1
quaggiù,quaggiù,Words,1
io,io,Words,1
penso,penso,Words,1
te,te,Words,1
nellalba,nellalba,Words,1
quando,quando,Words,1
vento,vento,Words,1
piano,piano,Words,1
così,così,Words,1
non,non,Words,1
luna,luna,Words,1
musica,musica,Words,1
lassù,lassù,Words,1
mai,mai,Words,1
sognare,sognare,Words,1
sogno,sogno,Words,1
porta,porta,Words,1
trapunto,trapunto,Words,1
su,su,Words,1
